waypoint number       time [s]              PosX [mm]             PosY [mm]             PosZ [mm]             Roll [degrees]        Pitch [degrees]       Yaw [degrees]         Cycle time [ms]       
116                   1.1701114391846843    18.391304347826086    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
117                   1.1801123916563483    18.548494983277592    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
118                   1.190113344128012     18.7056856187291      0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
119                   1.200114296599676     18.862876254180602    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
120                   1.21011524907134      19.02006688963211     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
121                   1.220116201543004     19.17725752508361     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
122                   1.230117154014668     19.334448160535118    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
123                   1.240118106486332     19.491638795986624    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
124                   1.250119058957996     19.648829431438127    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
125                   1.26012001142966      19.806020066889634    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
126                   1.270120963901324     19.963210702341136    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
127                   1.2801219163729878    20.120401337792643    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
128                   1.2901228688446518    20.27759197324415     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
129                   1.3001238213163158    20.434782608695652    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
130                   1.3101247737879798    20.59197324414716     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
131                   1.3201257262596438    20.74916387959866     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
132                   1.3301266787313077    20.906354515050168    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
133                   1.3401276312029717    21.063545150501675    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
134                   1.3501285836746357    21.220735785953178    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
135                   1.3601295361462997    21.377926421404684    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
136                   1.3701304886179635    21.535117056856187    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
137                   1.3801314410896275    21.692307692307693    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
138                   1.3901323935612915    21.8494983277592      0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
139                   1.4001333460329555    22.006688963210703    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
140                   1.4101342985046195    22.16387959866221     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
141                   1.4201352509762835    22.321070234113712    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
142                   1.4301362034479475    22.47826086956522     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
143                   1.4401371559196114    22.635451505016725    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
144                   1.4501381083912754    22.792642140468228    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
145                   1.4601390608629392    22.949832775919734    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
146                   1.4701400133346032    23.107023411371237    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
147                   1.4801409658062672    23.264214046822744    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
148                   1.4901419182779312    23.421404682274247    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
149                   1.5001428707495952    23.578595317725753    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
150                   1.5101438232212592    23.73578595317726     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
151                   1.5201447756929232    23.892976588628763    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
152                   1.5301457281645872    24.05016722408027     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
153                   1.5401466806362512    24.207357859531772    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
154                   1.550147633107915     24.36454849498328     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
155                   1.560148585579579     24.521739130434785    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
156                   1.570149538051243     24.678929765886288    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
