Time Rec (s)	Time Stamp (s)	Pos X COMM(mm)	Pos Y COMM(mm)	Pos Z COMM(mm)	Roll COMM(deg)	Pitch COMM(deg)	Yaw COMM(deg)	
0.5834400000000001    	0.583729982376        	3.55281543732         	-5.9525795e-05        	0.015417250805        	2.3335313e-05         	0.00223653065         	-8.248676e-05         	
0.5946600000000001    	0.59498000145         	3.63871574402         	0.000828569115        	0.016117185354        	2.5994977e-05         	0.002227513352        	0.000464586599        	
0.6058800000000001    	0.606190025806        	3.72448730469         	-7.4818723e-05        	0.016835100949        	2.9583151e-05         	0.002242131159        	-7.2548966e-05        	
0.6171000000000001    	0.617349982262        	3.80866599083         	-6.6448287e-05        	0.017502689734        	1.687951e-05          	0.002257082378        	-6.2678024e-05        	
0.62832               	0.628650009632        	3.89425849915         	0.000887083705        	0.018265090883        	7.775966e-06          	0.002265272429        	0.00053248211         	
0.63954               	0.642350018024        	3.99849033356         	-1.7646755e-05        	0.019114585593        	2.4322955e-05         	0.002245651325        	-4.3087621e-05        	
0.65076               	0.651289999485        	4.06843471527         	0.000836091116        	0.019710270688        	1.6971684e-05         	0.002250890713        	0.00047527987         	
0.66198               	0.662299990654        	4.15067100525         	-9.3825598e-05        	0.020414775237        	1.6136077e-05         	0.002285086783        	-9.0629743e-05        	
0.6732                	0.673460006714        	4.23433494568         	-6.687225e-05         	0.021166319028        	3.1755288e-05         	0.002298055217        	-7.1342925e-05        	
0.68442               	0.68475997448         	4.31945943832         	0.000767511083        	0.021924801171        	-2.0430351e-05        	0.002324255882        	0.000490617647        	
0.69564               	0.695949971676        	4.40455913544         	-0.000101503552       	0.022691370919        	9.46311e-06           	0.002336472971        	-8.5120744e-05        	
0.70686               	0.707170009613        	4.4895362854          	0.000804999028        	0.023465039209        	1.299754e-06          	0.002323672874        	0.000481325522        	
0.71808               	0.718410015106        	4.57434511185         	-0.000137827155       	0.024240655825        	1.8492647e-05         	0.002361596096        	-0.00010392609        	
0.7293000000000001    	0.729579985142        	4.65756130218         	-8.4953906e-05        	0.025021677837        	3.7385915e-05         	0.002358415863        	-7.0263195e-05        	
0.7405200000000001    	0.742110013962        	4.75147914887         	0.000750410662        	0.025899903849        	-1.4066168e-05        	0.002409903565        	0.000448629231        	
0.7517400000000001    	0.752070009708        	4.82677936554         	-5.540617e-06         	0.02663038671         	2.1180898e-05         	0.002396619413        	-6.0050734e-05        	
0.7629600000000001    	0.763230025768        	4.90979957581         	-8.5849686e-05        	0.027400158346        	5.386733e-06          	0.002420279896        	-7.4067764e-05        	
0.7741800000000001    	0.774519979954        	4.99564886093         	-8.4018553e-05        	0.028263602406        	2.7341839e-05         	0.002427343046        	-7.4005286e-05        	
0.7854000000000001    	0.785679996014        	5.07841205597         	-0.000117774573       	0.029064558446        	1.1030542e-05         	0.002469682368        	-0.000102398182       	
0.7966200000000001    	0.796949982643        	5.16259336472         	0.000819156354        	0.029922056943        	4.038918e-06          	0.002459733281        	0.0004689364          	
0.8078400000000001    	0.808139979839        	5.24671459198         	-0.000140273361       	0.030750969425        	1.049068e-05          	0.002513595857        	-0.000121065037       	
0.81906               	0.819339990616        	5.32907390595         	1.4832642e-05         	0.031619682908        	2.3355535e-05         	0.002520537237        	-4.8947182e-05        	
0.83028               	0.832409977913        	5.4267282486          	-7.4492469e-05        	0.032607004046        	5.180192e-06          	0.002556781285        	-8.2048515e-05        	
0.8415                	0.841809988022        	5.49688768387         	-3.8873797e-05        	0.033356338739        	2.2612991e-05         	0.002552608494        	-8.6787979e-05        	
0.85272               	0.853049993515        	5.58061981201         	0.000733678637        	0.03419586271         	-1.8080687e-05        	0.002584572416        	0.000446552469        	
0.86394               	0.864279985428        	5.66420602799         	-8.6894514e-05        	0.035123493522        	2.8352695e-05         	0.002604006557        	-0.00011028078        	
0.87516               	0.875419974327        	5.74619722366         	-0.000142379809       	0.035984642804        	6.168935e-06          	0.002653268632        	-0.00011937727        	
0.8863800000000001    	0.886709988117        	5.82950639725         	0.000802560942        	0.03693376109         	-1.5056014e-05        	0.002684210427        	0.000466606463        	
0.8976000000000001    	0.897920012474        	5.91300582886         	-0.000104642226       	0.037817031145        	-3.278348e-06         	0.002701921156        	-9.4699149e-05        	
0.9088200000000001    	0.909150004387        	5.99623727799         	0.000748257269        	0.038750432432        	-1.5277463e-05        	0.002692389768        	0.000443227909        	
0.9200400000000001    	0.922420024872        	6.09451675415         	-0.000155069487       	0.039860323071        	1.620685e-05          	0.002749527106        	-0.000113450682       	
0.9312600000000001    	0.93154001236         	6.16089296341         	-5.5392553e-05        	0.040617786348        	1.1567109e-05         	0.002774545224        	-9.396072e-05         	
0.9424800000000001    	0.94283002615         	6.24385166168         	0.000712971785        	0.041564892977        	-1.55982e-05          	0.002817075932        	0.000429779204        	
0.9537000000000001    	0.953989982605        	6.32668066025         	-5.9720423e-05        	0.042524397373        	-9.96562e-07          	0.002829039469        	-7.8801888e-05        	
0.9649200000000001    	0.965229988098        	6.40948581696         	0.000745337515        	0.043496575207        	-2.1658027e-05        	0.002839947119        	0.000449695421        	
0.9761400000000001    	0.976469993591        	6.49221801758         	-0.000103663886       	0.044477056712        	1.605356e-06          	0.002887514886        	-9.7390199e-05        	
0.98736               	0.987659990788        	6.57317733765         	-6.6180306e-05        	0.045459602028        	2.9836428e-05         	0.002912041731        	-7.8210811e-05        	
0.99858               	0.998929977417        	6.65577077866         	0.000714370457        	0.04645691812         	-2.5408888e-05        	0.002968006069        	0.000426744082        	
1.0098                	1.01212000847         	6.75368928909         	0.00042666067         	0.047478865832        	0.000162230441        	0.003070187755        	0.000146491991        	
1.02102               	1.02147996426         	6.8219575882          	-0.000104987805       	0.048467498273        	1.007165e-06          	0.003020055825        	-9.1269634e-05        	
1.03224               	1.03261995316         	6.90262842178         	-4.4557575e-05        	0.049485910684        	4.004468e-06          	0.003046764294        	-7.1777475e-05        	
1.04346               	1.04375004768         	6.98332548142         	-0.000117600342       	0.050499405712        	1.22304e-05           	0.003076162655        	-0.00012434274        	
1.05468               	1.05504000187         	7.06528139114         	0.0006992899          	0.05157091096         	-3.4719502e-05        	0.003135732375        	0.000443011901        	
1.0659                	1.06622004509         	7.14724969864         	-6.8162932e-05        	0.05260470137         	2.4263014e-05         	0.00312900939         	-0.000119005468       	
1.07712               	1.0773999691          	7.22765207291         	-8.8480905e-05        	0.053628265858        	-7.00112e-07          	0.003177970182        	-0.000103940132       	
1.08834               	1.08867001533         	7.30929994583         	0.00074583618         	0.054735347629        	-2.8805009e-05        	0.00322985067         	0.000448831939        	
1.09956               	1.10192000866         	7.40591573715         	-6.9717767e-05        	0.05597679317         	3.557271e-06          	0.003256363794        	-8.4014166e-05        	
1.11078               	1.1124099493          	7.48151779175         	0.000732896733        	0.057017933577        	-2.50021e-05          	0.003301816992        	0.000449572748        	
1.122                 	1.12232005596         	7.55416202545         	-0.000100733465       	0.057975146919        	4.733576e-06          	0.003317278344        	-0.000107368178       	
1.1332200000000001    	1.13349997997         	7.63404464722         	-9.7668511e-05        	0.059048593044        	4.012459e-06          	0.00335958018         	-0.00012139661        	
1.1444400000000001    	1.14479994774         	7.71679973602         	-6.2603802e-05        	0.060202114284        	1.4333629e-05         	0.00338610122         	-7.7948665e-05        	
1.1556600000000001    	1.15594995022         	7.79654121399         	-0.000119773002       	0.061295229942        	-1.8020826e-05        	0.003440437606        	-0.000110737623       	
1.1668800000000001    	1.16721999645         	7.87773418426         	0.000730641885        	0.062428187579        	-3.6001795e-05        	0.003438443877        	0.00043241313         	
1.1781000000000001    	1.1784299612          	7.95872211456         	-9.5254079e-05        	0.063586659729        	9.989546e-06          	0.003498143284        	-0.000100753838       	
1.1893200000000002    	1.18959999084         	8.03828620911         	-0.000104036648       	0.064700439572        	-3.261544e-06         	0.003548961366        	-0.000114594251       	
1.2005400000000002    	1.20230996609         	8.12933921814         	-4.1871539e-05        	0.066024623811        	9.930676e-06          	0.003586030332        	-9.9946381e-05        	
1.2117600000000002    	1.21205997467         	8.19989681244         	-8.7634136e-05        	0.067043639719        	-8.4257e-08           	0.003627877217        	-9.4651921e-05        	
